"No.","Time","Source","Destination","Protocol","Length","Info"
"793","2.443919","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=350430 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"794","2.444118","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1944 Ack=351810 Win=4193 Len=0"
"795","2.453343","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=351810 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"796","2.453343","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=353190 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"797","2.453516","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1944 Ack=354570 Win=4193 Len=0"
"798","2.454356","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=354570 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"799","2.454356","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=355950 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"800","2.454356","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=357330 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"801","2.454356","104.70.235.169","192.168.255.117","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"802","2.454356","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=360090 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"803","2.454356","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=361470 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"804","2.454356","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=362850 Ack=1742 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"805","2.454356","104.70.235.169","192.168.255.117","TLSv1.2","1066","Application Data"
"806","2.454555","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=1944 Ack=365242 Win=4193 Len=0"
"807","2.455489","192.168.255.117","74.125.250.102","UDP","946","63848  >  19305 Len=904"
"808","2.460004","192.168.255.117","74.125.250.102","UDP","174","63848  >  19305 Len=132"
"809","2.470440","74.125.250.102","192.168.255.117","UDP","100","19305  >  63848 Len=58"
"810","2.472601","192.168.255.117","104.70.235.169","TLSv1.2","157","Application Data"
"811","2.480197","192.168.255.117","74.125.250.102","UDP","150","63848  >  19305 Len=108"
"812","2.486529","74.125.250.102","192.168.255.117","UDP","156","19305  >  63848 Len=114"
"813","2.486889","142.251.10.95","192.168.255.117","UDP","67","443  >  64219 Len=25"
"814","2.500388","192.168.255.117","74.125.250.102","UDP","151","63848  >  19305 Len=109"
"815","2.519365","192.168.255.117","74.125.250.102","UDP","143","63848  >  19305 Len=101"
"816","2.524277","74.125.250.102","192.168.255.117","UDP","108","19305  >  63848 Len=66"
"817","2.530913","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=365242 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"818","2.531041","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=2047 Ack=366622 Win=4193 Len=0"
"819","2.539347","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=366622 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"820","2.539347","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=368002 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"821","2.539501","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=2047 Ack=369382 Win=4193 Len=0"
